wiI7pd,manual_label,dealership_name,review_id
Their manners are exceptional...and the complementary tea they served while waiting was wonderful too...All in all so far good enough to make me go there again....,1,HONDA RingRoad,1
Nice working staff and good services,1,HONDA RingRoad,2
"Honda ring road services are just pathetic, may it be professionalism, guiding customer about problem, on time delivery, everything is doubtful. manipulation of records is practice here. Would not recommend to anyone",0,HONDA RingRoad,3
Agr oil change k lie ana ho to pehle appointment lena hoga ya ase hi ja skte hai,,HONDA RingRoad,4
"Good services, well experienced team",1,HONDA RingRoad,5
It's good place,1,HONDA RingRoad,6
The experience is not seamless. Noisy environment no proper cabins for staff and sitting.,0,HONDA RingRoad,8
"Professional service, courteous staff and technically competent. Plus a well equipped workshop.",1,HONDA RingRoad,9
Too much expensive car maintenance,0,HONDA RingRoad,11
Good service,1,HONDA RingRoad,12
Comparative staff good dealership in town strongly recommended for your car maintenance they have attractive maintenance packages 100/100,1,HONDA RingRoad,13
Not much help with after services,0,HONDA RingRoad,14
Good road,1,HONDA RingRoad,15
"Got a car from here, service was good. Staff is well trained. It's a bit off from the main city but due to that there is less chaos at this dealership. The workshop is also good.",1,HONDA RingRoad,16
Fake Phone number hai scam calls ati hain is say,0,HONDA RingRoad,17
Having personal experience. If Honda Ring Road cant afford the salary then dont hire Sales Staff,0,HONDA RingRoad,18
Had a very good experience of buying a car with very friendly and professional staff.,1,HONDA RingRoad,19
"Regular services are fine. The staff acts to be very friendly and some of them really are. But when it comes to any warranty issue, they keep coming up with excuses since their preference is to take up jobs  where they get money.",1,HONDA RingRoad,20
"Great Experience to Visit HONDA Ring Road, All Departments were Well Organized.",1,HONDA RingRoad,21
"I visited here for maintenance and body work of my car. Overall it was a good experience, staff is quite cooperative as compared to other 3S centers and well trained. Special thanks to Mr. Hafiz Ahmad and Mr. Rafaqat Sardar.",1,HONDA RingRoad,22
"Probably the best place to get your New Honda or get your Honda Car checked. They have amazing staff, from owner to gate guard, what a benchmark they are setting in dealership arena. but yea they forgot to give me complementary matts with",1,HONDA RingRoad,23
"New service center, novice running it",1,HONDA RingRoad,24
All quality services under one roof,1,HONDA RingRoad,25
Dangerous area,0,HONDA RingRoad,26
"HRR team is very knowledgeable, friendly and professional.
Along with good maintenance
will guide you through your dealĂƒÂ¢?Ă‚Â¦and answer all your questions.",1,HONDA RingRoad,27
Very good services center and competent staff.,1,HONDA RingRoad,28
Good Envernment,1,HONDA RingRoad,29
"Great experience, Easy to access through Ring road and Amazing customer service. Thanks HRR Team",1,HONDA RingRoad,30
Awesome Customer Service. Nice environment. Easily Accessible,1,HONDA RingRoad,31
Up till now I have visited this place 3 times and every time I met with different people concerned to workshop which shows there high employee turnover which is not a good sign for the customers. As far as service quality is concern they,,HONDA RingRoad,32
Very cooperative and welcoming staff.,1,HONDA RingRoad,33
"Good experience...
Awesome service.....",1,HONDA RingRoad,34
Great experience purchasing a new car from Honda Ring Road. Mr. Muhammad Sajawwal was very kind and he made sure everything was lined up properly and on time. Will share my experience about their workshop as well but overall a very nice addition to Honda dealership network.,1,HONDA RingRoad,35
Supportive staff,1,HONDA RingRoad,36
Staff,,HONDA RingRoad,37
Excellent customer services,1,HONDA RingRoad,38
I am employee in this dealership. This very good dealership. This peace of heart of gajjumata,1,HONDA RingRoad,39
Professional and highly trained technician staff.,1,HONDA RingRoad,40
I booked my BR-V and they committed delivery in 1 month but actually delivered in 2 months. Rest their services are good so far.,1,HONDA RingRoad,41
Good place and professional service... Customer oriented... Cooperative staff and good listening of Higher Management.,1,HONDA RingRoad,43
"Nice ambience.
Professional approch.",1,HONDA RingRoad,44
Best customer care service,1,HONDA RingRoad,45
Dont book car from here. Honda ring road is big fraud. Especially overseas dont buy from here they blackmail to customers. Sale management is non professional. I have all chat proves. They threat to customers and zero customer care. Female behavior is very offensive. Because uneducated sale management.,0,HONDA RingRoad,46
Honda ring road is fraud. Plz dont buy any new car from here they are big blackmailer. Sales manager is no professional and involve in fraud. I booked my car from here. Didnt receive yet. I am going to complain about them.  Big thieves       I will post on social media about them.  Dont come here for any service.  Fraud management.,0,HONDA RingRoad,47
"I have had a dreadful experience with Honda. I booked a Honda Civic on 25-January 2022 from Honda Ring Road Lahore. Before I booked, the salesperson insisted that if I placed a booking in January, I would receive it in April 2022. Clearly,",0,HONDA RingRoad,48
I asked my friend and family members Honda ring road good place. But Today I visit Honda ring road for  my car 10000km service. 1 person add battery water with 4 letter oil gallon. And no entire on my warranty card. Today very bad experience.next time not recommend.,0,HONDA RingRoad,49
I am from Saudi Arabia. I booked my car from honda ring road. Delivery was at 31 august. Still didnĂƒÂ¢??t not get my car. It is completely fraud. Dont book ur car from Honda ring road. I strongly recommend. And if any person say about rights,0,HONDA RingRoad,50
Very nice and courteous staff. Expensive yet good service,1,HONDA RingRoad,51
Quik service friendly staff,,HONDA RingRoad,52
Fraud company. Boycott Honda    Insh Allah we will make trend boycott honda,0,HONDA RingRoad,53
Had good experiences with sales and services. Sales lady Ms Uzma is very helpful.,1,HONDA RingRoad,54
Beautiful place,,HONDA RingRoad,55
"Cooperative Staff. Staff and management are ready to help customer.
Good Experience",,HONDA RingRoad,56
Extremely bad experience,0,HONDA RingRoad,57
"Wonderful experience , with senior service adviser Mr Muhammad Shahbaz, Highly professional , courteous and friendly attitude, will come again, Regards Dr Qaisar.",,HONDA RingRoad,58
Excellent  staff and service,,HONDA RingRoad,59
Excellent service.,,HONDA RingRoad,60
Very supportive & courteous   staff.,,HONDA RingRoad,61
Service and repair is Very expensive than other Honda dealers and Very unprofessional behaviour. After repair you have to be carefully inspect your car or get inspected by independent inspection team. They don't pay attention and miss so,0,HONDA RingRoad,62
"Excellent service,  very humble and professional dealing.  Recommended",1,HONDA RingRoad,63
Very simple at map following,,HONDA RingRoad,64
Good place to buy Honda.,1,HONDA RingRoad,66
"It has been a year since I moved to Honda Ring Road for the periodic maintenance of my cars. Since then, every visit has added to my customer service experience. Their continuous investment in quality assurance is evident in terms of",1,HONDA RingRoad,67
Place for good services in the area,1,HONDA RingRoad,68
Great service. Good staff,,HONDA RingRoad,69
Not much satisfied with service. Non professional behavior,0,HONDA RingRoad,71
"Probably the most delightful and professional Honda Service Center in Lahore, perhaps in Pakistan. The managers, staff, and technicians are agile, responsive and above all, they are a great host. The workshop is bigger and is equipped with",,HONDA RingRoad,72
"No face masks but good service.

Update 30 June: they are really busy now. But poor management. I waited 45 mins ĂƒÂ¢?Ă‚Â¦",,HONDA RingRoad,73
Good services,,HONDA RingRoad,74
Best Services,,HONDA RingRoad,75
Highly recommended,,HONDA RingRoad,76
Honda achi hay per me toyota lover hun,,HONDA RingRoad,77
Supervisors response is good enough but mechanics are arrogant and less knowledge,,HONDA RingRoad,78
Good workshop to change the vehicle oil.,,HONDA RingRoad,79
"Good location
Nice ambiance
Courtesy good ĂƒÂ¢?Ă‚Â¦",,HONDA RingRoad,80
Best place for deal...,,HONDA RingRoad,82
Wonderful experience...,,HONDA RingRoad,83
Best place for car purchasing and car care in Lahore,,HONDA RingRoad,84
Over al good.,,HONDA RingRoad,85
Looters and thugs of highest degree. Worst attitude of sales department. Cant deliver vehs on time. 8 mnths 14 din ho gye hn booking ko abhi tk gari nahi mili. Please stay away everyone,0,HONDA RingRoad,86
clean environment and large service area,,HONDA RingRoad,88
"The workmanship and support team is good. Reaching Honda Ring Road is a bit tricky as there is no frontside road access to this building from the Ring Road, so you have to come via a side road behind the building.",,HONDA RingRoad,89
Good workshop and dealership.....friendly environments,,HONDA RingRoad,90
Staff is good and very professional. Never expected such good experience from any honda service center.,,HONDA RingRoad,91
"Would highly recommend this place because of their professionalism and their state of the art equipment.. even if you live far, take the ring road and take your car here.. I was with my family and their waiting area was family friendly they also took less time to service my car please keep up the good work..",,HONDA RingRoad,92
Services are good,,HONDA RingRoad,93
Thieving staff is the ultimate wo,,HONDA RingRoad,94
"I believe they're the only Honda Franchise in Pakistan who literally value their clients and prospects with best customer services. I went their couple of times in service department and never felt they're all trying to rip me off. Instead,  they suggest what's best for vehicle.",,HONDA RingRoad,95
"They have excellent attitude towards ,their employees and customer",,HONDA RingRoad,96
"Amazing customer service!
We wanted to see colours in real time and asked them to show us their inventory so that we can decide our car colour. We didn't even book it from them; but they ĂƒÂ¢?Ă‚Â¦",,HONDA RingRoad,97
"Very good atmosphere, the staff was very welcomingÉ",,HONDA RingRoad,98
Good Experience Thank You,,HONDA RingRoad,99
Good services great tools however prices are quite high and they vary a lot from different dealerships so better to do a research before going there.,,HONDA RingRoad,100
Al from Cooperative Pe,,HONDA RingRoad,102
"Professional Services, with experienced technicians",,HONDA RingRoad,103
"Big showroom with a complete range of honda vehicles. But, access to the showroom needs to be improved.",,HONDA RingRoad,104
Very Bad Experience!! Staff is not cooperative. Their employees and sales manager aren't cooperating with us. I'll never recommend honda to anyone. They just waisted my time.,0,HONDA RingRoad,105
Very cooperative friendly sales staff Sana. All Staff very welcoming.,,HONDA RingRoad,106
"Service is decent.
Prices exorbitant!",,HONDA RingRoad,107
Honda best dealer ship in lahore,,HONDA RingRoad,108
Nice place for car shopping,,HONDA RingRoad,109
Good customer service,,HONDA RingRoad,110
Excellent services,,HONDA RingRoad,111
"Good effort
Location is good so we don't have to go to inner city.",,HONDA RingRoad,112
Bought my BRV from here. Came for the first oil change. It was quick and they washed the car as a complimentary service. Good experience,,HONDA RingRoad,113
"Sorry to say, you are lier and cheater as per recent experience.
I gave you 2 stars but keeping in view your dealing style, ignorance, badmashi, converting it into 1 star. If it will be in my control, i must convert it into - ĂƒÂ¢?Ă‚Â¦",0,HONDA RingRoad,114
Nice and big spacious setup. Better than other dealerships. New machinery and tools,,HONDA RingRoad,115
"I must say, they have best customer services in terms of after sales services.",,HONDA RingRoad,117
Good place in peaceful area.,,HONDA RingRoad,118
Great place & great service. Best dealership for car purchase & maintenence. Courteous staff & great ambience.,,HONDA RingRoad,119
Nice services.,,HONDA RingRoad,120
Very Cooperative  and professional  Staff and Owner,,HONDA RingRoad,121
"Thank you to the amazing team over at Honda Ring Road. I would like to make a special mention of Mr Raja who from the very beginning eased my worries and concerns and re-assured me, that the work required would be carried out by his",,HONDA RingRoad,122
"It's a compliment message

Had a visit today for a service for my Honda Civic. Met with Mr. Saqib Jameel, ĂƒÂ¢?Ă‚Â¦",1,HONDA RingRoad,123
0 % performence,0,HONDA RingRoad,124
"Fantastic experience at this dealership. I loved my salesperson Usama Wasti, very personable, not pushy. repaired Honda Civic 2013 and itĂƒÂ¢??s in amazing shape. Very well cared for and conditioned. They even compound polished the scrapes",,HONDA RingRoad,125
Excellent services rendered by Honda Ring Road Motors.,,HONDA RingRoad,128
"Good service, excellent staff behavior!",,HONDA RingRoad,129
Very good service..,,HONDA RingRoad,130
"Its a newly opened Honda Dealership on Lahore Ring road, they are providing good services, their Sales staff is also very humble. Dealership is also providing after sales services.",,HONDA RingRoad,131
Poor customer service. Management should training the staff how to satisfy the customers.,0,HONDA RingRoad,132
Awesome service GOOD MAINTENANCE,,HONDA RingRoad,133
Wonderful.  Services rendered by attending staff is excellent,,HONDA RingRoad,134
Very Good newly built service facility for Honda cars.,,HONDA RingRoad,135
Excellent place to buy and after sale service of Honda huge workshop,,HONDA RingRoad,136
Great service,,HONDA RingRoad,137
"Best of all,",,HONDA RingRoad,138
Best Dealership,,HONDA RingRoad,139
Staff are good yet I hope they will sustain this service in future as well.,,HONDA RingRoad,140
"3SDealrrship of Honda, best place New Honda Cars Purcahse and After sales.",,HONDA RingRoad,141
I recently visited Honda Ring Road for scheduled maintenance. The building is cutting edge with every single service being accessible. Uniquely the wheel alignment and balancing section has the most recent laser technology with negligible,,HONDA RingRoad,143
5 star recommended,,HONDA RingRoad,144
"Recently I was visited Honda Ring Road, because i was facing RPM problems in my Honda city,  Its Very easy and open approach from ring road. There was i found respectful staff, I was attended by a guy named Shahbaz at the reception. He was ",,HONDA RingRoad,145
Good service overall.,,HONDA RingRoad,146
I came here for the first time to get my car repaired. I was awed by the customer service provided by Mr. Noman & Raja Saab and left assured that my car is in trusted hands! Definitely making this center my go to place for all service and repair work!,,HONDA RingRoad,148
I m sharing my personal bad experience as i bought brand new Honda Silver  BRV . Its chasis is misalligned. I bought this car on mortgage.  The Honda Ring Road Management is reluctant to file any warranty claim. Its been two weeks and they ,0,HONDA RingRoad,149
The best 3S HONDA cars dealership in town. Ther services are exceptionally well. The staff members are very friendly and supportive. Thier waiting area is very good and entertaining.,,HONDA RingRoad,150
"Very well managed and organized, good team, and customer service.",,HONDA RingRoad,151
Nice showroom and good staff,,HONDA RingRoad,152
Connecting Road is too small,,HONDA RingRoad,153
"They do the work very well, but the wrong thing is that they take out a lot of work, they start scaring the workers that your so-and-so thing is going to be damaged, so-and-so is going to happen, change it, change it, which is wrong,",,HONDA RingRoad,154
Professional staff,,HONDA RingRoad,155
"Simply awesome and very cooperative staff.
Great high tech place.
A must go if you are buying a Honda manufactured car this is the place to be...",,HONDA RingRoad,156
By far the best Honda dealership in Lahore.  Very easy and open approach from ring road. Courteous and respectful staff. I was attended by a guy named Shahbaz at the reception. He was very polite and helpful throughout the process. Being a,,HONDA RingRoad,157
Extremely happy for great services and dealing. Staff are really professional and helpful. This is my first visit and I am really inspired with quality of services and friendly environment. They really care your vehicle and give you peace of mind. My best wishes for their growing business.,,HONDA RingRoad,158
Best honda cars dealer in Lahore. Very supportive customers support.,,HONDA RingRoad,159
Best I ever found,,HONDA RingRoad,160
Best honda cars showroom in lahore. Find your dream car here.,,HONDA RingRoad,161
Excellent service,,HONDA RingRoad,162
Good workshop,,HONDA RingRoad,163
"Outstanding, everyone should visit it and try to achieve the ultimate services, especially body shop is unbelievably good while the mechanical side is the best one, may Allah bless all of us, Aameen",,HONDA RingRoad,165
"Well trained staff
Professional handling of car services
Honest advise about best options for your car ĂƒÂ¢?Ă‚Â¦",,HONDA RingRoad,166
Nice environment,,HONDA RingRoad,168
Excellent customer service!,,HONDA RingRoad,169
Built few months ago. Good service,,HONDA RingRoad,170
Very Cooperative and technical workshop staff  with good environment,,HONDA RingRoad,171
Good work and very good response to passenger,,HONDA RingRoad,172
Good Maintenance team,,HONDA RingRoad,173
Great services!,,HONDA RingRoad,174
Real bad experience. Went for AC checkup. There was no issue with the AC. But after the check up it has stopped working. So what else can I say. Highly unrecommended.,0,HONDA RingRoad,175
Very nice and quick response of Honda Ring Road Pvt LTD . Urgent supply and booking of customer cars.Highly recommended,,HONDA RingRoad,176
I would say the best customer service. Infact every staff member was so courteous thta i couldn't believe that I'm in Lahore.,,HONDA RingRoad,177
Good dealar ship,,HONDA RingRoad,178
Muhammad Ahmad,,HONDA RingRoad,179
Good dealership,,HONDA RingRoad,180
Very good services,,HONDA RingRoad,181
A very Pleasant place to repair and buy your dreams Honda cars.,,HONDA RingRoad,182
"Entrance is from LDA City road, good service, staff is very cooperative and guide customers in a friendly and soft manners.",,HONDA RingRoad,183
"Met the owner today. He is sooo nice, and kind. Overall a great personality. The staff is very cooperative. Overall a great experience.",,HONDA RingRoad,184
"Newly opened dealer ship, but they are very slow in their processing right now",,HONDA RingRoad,185
Good service Ring road Honda Thank You so Much,,HONDA RingRoad,186
New but best,,HONDA RingRoad,187
"It was a nice experience to have visited HONDA RING ROAD LAHORE in connection with purchase of HONDA BRV-S, 2021. Vehicle provided was in immaculate condition and we are completely satisfied with the same",,HONDA RingRoad,188
Very good experience got my brv .,,HONDA RingRoad,189
"Got delivery of brand new Honda City 2021, i was excited for car but my approaching 1 year kid enjoyed indoor games and kids hut more then car.
So love that place and InshaAllah will visit them again for same purposes.",,HONDA RingRoad,190
No proper access from ring road.,,HONDA RingRoad,191
Good place but the owner of showroom didn't stand on the delivery date and gave us lame excuses...,,HONDA RingRoad,192
A thorough professional experience and very customer oriented... Fast turn around of your car.,,HONDA RingRoad,193
"I never trust any dealership because they just charge you high amount and never gives quality work, but this time my concept about Honda Dealership is totally change after visiting Honda Ring Road Lahore. I visit there for my car paint work ",,HONDA RingRoad,194
Very executive and quality services.,,HONDA RingRoad,195
First visit. Helpful n courteous staff. Sales office on first floor. Beautiful n spacious office. Please do not follow Google map it don't recognize road to This showroom. Follow the small sign board  from LDA City road. which leads to this,,HONDA RingRoad,196
A far off location but the staff and management is really welcoming.,,HONDA RingRoad,197
Really State of art,,HONDA RingRoad,198
"Great customer service, efficient, experienced work Force. Dealt by Mr .Shahbaz who i must say is doing an excellent job.
Been to all honda service points in Lahore, but this one is the best.
Highly recommended",,HONDA RingRoad,200
Very easy approach and good service quality.,,HONDA RingRoad,201
Neat Environment,,HONDA RingRoad,202
Lovely place,,HONDA RingRoad,203
"A recently started Honda 3S Dealership, located on the Ring Road.
Still awaiting a formal opening, they have started their sales and service.
They have more bays than Honda Gateway and seperate floors for Mechanical and ĂƒÂ¢?Ă‚Â¦",,HONDA RingRoad,204
Newly established but a bit dangerous road to reach,,HONDA RingRoad,205
Excellent and very meticulous dealings...,,HONDA RingRoad,206
Highly recommended,,HONDA RingRoad,207
Good Services,,HONDA RingRoad,208
Opening coming soon,,HONDA RingRoad,209