review_text,dealership_name,label
Soo expensive ? Â,HONDA Gateway,0
Cooperative staff... Almost neat n clean atmosphere...,Suzuki Khalid Motors (Link Ferozpur),1
"NICE SHOWROOM IN MY TOWN ...
A showroom is a large space used to display products for sale, such as?automobiles,?furniture,?appliances,?carpet?or?apparel. It is a?retail store?of a company in which products are on sale in a space created by their brand or company. A showroom can also be a space for wholesale buyers to view fashion merchandise for sale in their retail stores.
The world's most famous locations for a showroom, generally in the form of a?cluster",Suzuki Sethi Motors (Town Morr),1
"Honda car mechanical, automotive and body works services available. Routine parts readily available. Service Quality is good.",HONDA Township,1
Friendly staff and good service,HONDA Point,1
Authorized dealer of Suzuki Motors with a very big setup and good customer service. If you own Suzuki vehicle this is the right place for you.,Suzuki Adil Zafar Motors,1
"I have the worst experience. After opening car, they said that they have no spare part. It will be delivered after two weeks howeve they need service charges.",HONDA Township,0
"They are very good for repair and maintenance of Suzuki vehicles. Their waiting area is big and well maintained so you can wait while work is being done. The only problem is that if it is insurance work, they take too many days. Rest I was satisfied with the work. Payments can he made via credit cards. The shop closed at 6 p.m. so plan your visit accordingly.",Suzuki Sethi Motors (Town Morr),1
Adil Zafar offers services and spare parts as well. Spare parts are expensive and all variety not available. Service area is not well organised and sometimes you need to spend 3 hours for only oil change and tuning.,Suzuki Adil Zafar Motors,0
"Undoubtedly, Staff is very cooperative. And even the guy who serves has a very cool temperament. Car services are qualitative and highly satisfactory.",Suzuki Raiwind Motors (Raiwind Rd),1
It's a good place to get your vehicle periodically maintained. Good job done everytime.,Suzuki Mini Motors (Gulberg 3),1
Have a good experience on Google maps,HONDA Gateway,1
"This is an expensive place with no customer care. They have two persons to deal all the anger from the customers one is Mr.Danish slim guy AKA chota Danish and their CRO Wasif. Technicians and technical staff will ask you to pay them separately for creating mess with your vehicle. I have attached photos along with the review. I went there to replace the air conditioner due to a faulty compressor. It cost me 40k + 2k other part that they replaced they have team of 5 to 6 persons who deal with air conditioner they took whole day to install new unit and end of the day when they handed back my car its generator was not working it cost me another 4k to get a new battery becuse they forgot to adjust the generator. As new generator/Alternator was installed. This place is not recommended if you are not half mechanic. You will end up paying for their negligence. If you have a brand new car then it is fine to go their as the team is not expert and is very sharp at making excuses to get away with their own negligence. They use to have good people like Naveed, Zahid Khan but now they don't have expert professionals. Their two forman Asif and zeeshan are seniors but they'll be just sitting in the office all the time and if you ask to look at something they'll never move their butt. I am going their for last 5 years and two vehicles were maintained by them i have experienced several second visits, once they forgot to tight the tappet cover,  with my wagon r they were badly failed to diagnose the bearing issue. Like I said before if you have knowledge about your machine then it will be fine to go there. But avoid going there if you're not good enough to understand the mechanical of your car. Plus long wait is guaranteed.",Suzuki Sethi Motors (Town Morr),0
"All were fine except one guy who was rude with his own colleague.

Regards,
Daniyal Hussain",HONDA Point,1
Looks good but staff and customer care needs improvement,HONDA Point,1
Good services but a little expensive.,HONDA Point,1
Good workers. But paint Shops staff is very arrogant.,Suzuki Khalid Motors (Link Ferozpur),1
Worse experience in life. They never respond to call a single time in day. Look at SS below. This is number they had given in booking message to contact about Car delivery. Car dispatch date is gone and thereÂs no delivery after 70 days of 100% Balance payment. Worse experience and IÂll go to court now.,HONDA Gateway,0
Very Good Service and Good Attitude of Staff,Suzuki Sethi Motors (Town Morr),1
Professional customer service.,HONDA Gateway,1
If you do payments with card they will charge 2% extra while is really bad who uses cash specifically in covid.,HONDA Township,0
"Very expensive, need more place, staff not much cooperative so so.",HONDA Fort,0
Good efficient facility,Suzuki Raiwind Motors (Raiwind Rd),1
"I have mixed experience of this place.

Pros
Large showroom
Exclusively for Suzuki vehicles
They oblige you with priority if you had booking.
Staff is generally courteous.
Tuck shop drinks also available.
Seating waiting area available.
Usually they don't bring up extra faults in your car.

Cons
There is lack of coordination between staff.
Staff is diverse and some are not courteous, not cooperative, uncaring and self centered.
At rush hour they want you to typically go away.
If you go for simple service, they pretty much do nothing at all except for screw tightening.
Parts are overpriced.
If you ask for opinion like I wanted Android panel in WagonR, they provide you wrong piece of advice and told me cost of 45k which is way way overpriced.
My car started performing bad with milage of 10 they said it's normal.

Summary
Probably the largest service station for Suzuki but owing to my poor performing car after wait time of 2-3 hours at service I decided to leave sethi motors and Alhamdulillah my car is back to milage of near 15. So Generally I won't recommend sethi motors.",Suzuki Sethi Motors (Town Morr),1
convinient location,Suzuki Raiwind Motors (Raiwind Rd),1
"Went there for Oil Change
I found Best Service and honest staff",Suzuki Sethi Motors (Town Morr),1
On of the biggest Suzuki Dealership in Pakistan.. Huge manpower great services... The best part Tea is served to each guest with protocol,Suzuki Sethi Motors (Town Morr),1
Purchased a suzuki car through them. Extremely helping staff that ensured facilitation till completion of registration process.,Suzuki Raiwind Motors (Raiwind Rd),1
3rd Class Services,HONDA Gateway,0
Very easy to get quality car service,Suzuki Khalid Motors (Link Ferozpur),1
Very cooperative and welcoming staff.,HONDA RingRoad,1
courteseous staff and very honest charges for parts and services,Suzuki Adil Zafar Motors,1
"They are charging more for service..
Currently 1000 while other suzuki showrooms are charging 600 for the same service.. their prices are bit high but labour is skilled..",Suzuki Mini Motors (Gulberg 3),0
Nice environment but,Suzuki Raiwind Motors (Raiwind Rd),1
Excellent service and very helpful staff...,Suzuki Mini Motors (Gulberg 3),1
Parking issues.,HONDA Township,0
Very bad experience i visited Honda township because i am facing RPM fluctuation in my Honda civic 8th generation and even my car is maintained by Honda township..the staff didn't check the issue of rpm fluctuation i am facing..they just check other things like suspension and give me estimate of their labor for suspension.. At least try to check and resolve the issues faced by customer in their vehicle rather than checking other things..,HONDA Township,0
Satisfactory service. Labour charges are through the roof though.,HONDA Point,1
Nice place,Suzuki Raiwind Motors (Raiwind Rd),1
It Was Just  A Good Visit...,HONDA Township,1
Very good services and friendly atmosphere,Suzuki Khalid Motors (Link Ferozpur),1
Excellent customer service by Mr. Yasir and Mr. Kashif on purchase of cultus. Both honoured their committement on time with efficient dealings.,Suzuki Mini Motors (Gulberg 3),1
It's good place for Honda car owners. Especially Mr. Rameez very nice person. Deals his clints very gently.,HONDA Gateway,1
"Bought a City Aspire from this dealership. Mr. Samar was the person who dealt with me. I would say that the services provided by Mr. Samar from the start of the deal until the delivery of my required car file and smart card were simply marvelous. He was very patient and clarified all my queries in the beginning and then he delivered everything well before time, whether it was the car itself or the registration documents. This was the best experience I could imagine from a car dealership and only because of Mr. Samar.
Many thanks to Mr. Samar. I really fall short of words to express the good services he provided. Whatever he promised, he was always well before time to deliver. Very patient, courteous and humble person. Thank you again.",HONDA Township,1
Very bad experience two much expensive and use less service,HONDA Fort,0
Good experience...well trained technical staff.. services are good,Suzuki Mini Motors (Gulberg 3),1
Well equipped Honda workshop for cars.,HONDA Gateway,1
The stuff appeared very cooperative and helpful. But I found their rates slightly on higher side.,HONDA Township,0
Worst staff. They don't want to work at all and just want you to spend money in their workshop as much as you can. Imran n Javaid bhai are comparitively better n coperative. Beware of Qasim a bulky person incharge of wheel alignment. U will definately get ur car damaged and no one will listen to u. I will never go to this workshop again.,Suzuki Adil Zafar Motors,0
No body is interested to deal the customer. The behavior of staff is poor.,HONDA Point,0
I do not want to give single star as well. In case of warranty they didn't own the car. Even they didn't explained and show me on warranty card that if camber can't be covered.,Suzuki Raiwind Motors (Raiwind Rd),0
"Staff is very professional and helpful in any kind of maintenance and parts replacement, they assist very professionally and guide for right services. I always prefer honda township (Near to pindi stop peco road) for my vehicles maintenance and spare parts replacement
Highly recommended",HONDA Township,1
"Its better to get your oil changed/ tuning done/ parts replaced from an authorized dealer. Contrary to poular belief, they are not overpriced. However, unlike the mechanics, they do have a good quality of service. Suzuki Mini is all good.",Suzuki Mini Motors (Gulberg 3),1
Good road,HONDA RingRoad,1
"Honda Forte has been the place to take the family Honda cars for a very long time. New cars aside...The 2000 Civic is still maintained by Honda Forte!
Their service has not only helped keep the cars engine maintained but also Ã¢?Â¦",HONDA Fort,1
"oodnplace, cooperative staff. Well trained for Suzuki Cars",Suzuki Mini Motors (Gulberg 3),1
Good Showroom,HONDA Gateway,1
"Terrible experience today 4 June, 2019. Reached 9.15 hrs. After 2 hours, the job was completed except replacing wiper blades that requires few seconds. They put me on hold for one hour that Electrical Pit was not free. After repeated reminders to the Incharge Arsalan, I ultimately met their Management Mr Rehman and in the next 5 minutes, my car was out of the Workshop. There is hardly any work management in workshop area. It has happened to me in the past as well.",Suzuki Sethi Motors (Town Morr),0
Good Experience,Suzuki Mini Motors (Gulberg 3),1
3rd class services. I went for 2 appointments but did not do any work. Things come in front of me but some are not available.,Suzuki Raiwind Motors (Raiwind Rd),0
Lovely place ?? Â,HONDA Gateway,1
very good service provider,Suzuki Adil Zafar Motors,1
"The upper management is often misleading there, and doesn't cooperate often. If there is a lot of cars, expect to be waiting around an hour or so. Otherwise, I usually go here for my car's regular checkup and maintenance. The staff and crew are usually the ones that are really helpful.",HONDA Point,0
"Qualified Staff, healthy environment",HONDA Gateway,1
It was car's first checkup.Ã Very cordial and cooperative staff.,Suzuki Raiwind Motors (Raiwind Rd),1
They provide good sevices,HONDA Point,1
Fine,Suzuki Raiwind Motors (Raiwind Rd),1
Good services,HONDA Gateway,1
Excellent services,HONDA Township,1
Had good experiences with sales and services. Sales lady Ms Uzma is very helpful.,HONDA RingRoad,1
"NOT Satisfied with the SERVICE DEPARTMENT; i had my vehicle diagnosed; the technician who started to diagnose the vehicle seemed like he was NOT happy to be part of the service department's team. He either was not experienced or did not think that satisfaction of the customer was important to him. Upon lifting the vehicle, first thing he told me to do is take the car back and have it washed underneath and then bring it back. His superior obviously disagreed with him and recommended to use a cleaner spray to clean the small area which was presenting the problem (a slow leaking oil pipe). From that point onwards till the end of the diagnosis, not only the technician DID NOT use the cleaner spray but also was not able to reach the loose clamp (the culprit of the problem). Throughout the process he did not remove the front wheel which was the right way to be able to reach the clamp easily but was not able to fix a simple clamp. The end of the story is that I had a simple mechanic at a mechanic '""workshop"" who charged me a simple Rs. 500 (yes correct 5 hundred and even that I insisted because he was generous enough to resist charging me anything) to fix that clamp and was able to do this on a simple jack by removing the front wheel. At some parts of the world, the dealerships are known as ""STEALERSHIPS"" for this exact reason. Please step up ur game Honda Gateway and not become a stealership... since your inexperienced technician then proceeded to tell me to have the entire pump replaced until I asked him to get the head mechanic who obviously disagreed with the technician's diagnosis. Even though I was NOT charged by your service department, I still think I have to present an accurate picture on google reviews.",HONDA Gateway,0
Good service along with waiting area and free refreshments.,Suzuki Mini Motors (Gulberg 3),1
Good dealing but there phones always goes busy.,Suzuki Khalid Motors (Link Ferozpur),1
Not available of Air filter for New Cultus,Suzuki Adil Zafar Motors,0
1 star off for the absurdly high prices for parts. The staff and everyone else was awesome.,HONDA Township,0
To Expensive,HONDA Fort,0
Expert dry denting cars,Suzuki Sethi Motors (Town Morr),1
"I went to the Asia house today as well but my issue hasn't been resolved. Simply pathetic service overall all from your dealership and honda. Full payment made since August and no date of delivery yet and again and again subjected to price hikes. The management is not only misleading but is bloody rude!!!! There is no clear communication between teams and clients are stuck in thin air. I would never ever ever go through your dealership or advice anyone to do so, unless someone wants to open a can of worms!",HONDA Gateway,0
Their service + staff is really great. They are loyal with their work. Treat the vehicle as their own.,Suzuki Khalid Motors (Link Ferozpur),1
Very good service  centre  I visited  there bench of time,Suzuki Sethi Motors (Town Morr),1
Service good but spare parts on higher than market.,Suzuki Raiwind Motors (Raiwind Rd),1
"Best for periodic maintenance and parts. I have tried multiple 3s facilities of Honda in Sialkot, Lahore and Gujranwala - Honda Fort is by far the best. Parts quality is good. Prices are a little bit high.",HONDA Fort,1
"My car Honda City Aspire model 2017 was giving abnormal sound intermittently. It seems from camshaft. But mechanic was well trained, he directly pinpoint the problem of AC compressor loose bolts. Problem resolved in few minutes.",HONDA Gateway,1
Some staff members need to be trained and taught some manners for dealing with customers. And if such staff has trouble working then they should be placed with the cars as a show-piece.,Suzuki Raiwind Motors (Raiwind Rd),0
Very cheep rate,HONDA Gateway,1
Nice working and experienced workers,Suzuki Adil Zafar Motors,1
Manager behaviour is not good and cleaness condition worse.,Suzuki Khalid Motors (Link Ferozpur),0
It's okay but needs to improve training of their sales Staff.,Suzuki Khalid Motors (Link Ferozpur),0
Good service .. customer support n technical staff,Suzuki Mini Motors (Gulberg 3),1
They are very good in their jobs specially body and paint shop.,Suzuki Khalid Motors (Link Ferozpur),1
This was excellent place,HONDA Fort,1
"Friendly environment, excellent service",Suzuki Khalid Motors (Link Ferozpur),1
It is amazing. Price is also reasonable. We also provide packages for the service.,Suzuki Raiwind Motors (Raiwind Rd),1
Suzuki showroom and service center with professional staff. They also give you free car services upon purchase of vehicle,Suzuki Adil Zafar Motors,1
Good 3S service providers,HONDA Point,1
Got paint job for my suzuki alto  very high quality paintwork. Got car on time. Highly recommended!,Suzuki Raiwind Motors (Raiwind Rd),1
Never go to their 1st floor for service here they dont pay attention,Suzuki Raiwind Motors (Raiwind Rd),0
"Very professional staff, Cooperate. Fully satisfied with my visit",Suzuki Raiwind Motors (Raiwind Rd),1
Pathetic staff,HONDA Fort,0
Quality of service deteriorate over the time,HONDA Gateway,0
Good advices which are beneficial for customer,Suzuki Khalid Motors (Link Ferozpur),1
Its a dealership cum service point for all types of Suzuki Vehicles. Much busy place on Saturdays.,Suzuki Sethi Motors (Town Morr),1
Good services & staff very cooperative,HONDA Point,1
Very good service,HONDA Township,1
Lovely cooperative Staff,HONDA Township,1
Amir manager of mechanical work is very competent and always wellcome.,Suzuki Khalid Motors (Link Ferozpur),1
Honda Fort at Queen's Road is one of the more reputable showrooms of Honda in Lahore. I have always had good experience with them wether it is buying a car or fixing it. I feel they have really experienced mechanics in their showroom and my car is in safe hands.,HONDA Fort,1
A very good customer service experience regarding Suzuki vehicles,Suzuki Khalid Motors (Link Ferozpur),1
Excellent place for maintenance. Simply says thugs free workshop.,HONDA Point,1
"I?? new to town and went to this place for periodic maintenance of my car.. because of the pathetic and unprofessional attitude of their staff who receive cars in the service section, I immediately left and went to another Honda dealership..",HONDA Point,0
Nice staff dealing with care and respect.  ,Suzuki Raiwind Motors (Raiwind Rd),1
Ok ok,Suzuki Raiwind Motors (Raiwind Rd),0
Owners and the complete staff are very much cooperative as well as experienced professionals,HONDA Fort,1
Just okay service.,HONDA Point,0
"Ok to buy a car, neat environment",HONDA Township,1
Only recommended for oil change.,Suzuki Raiwind Motors (Raiwind Rd),1
Good dealer,HONDA Gateway,1
Number One Dealership For Honda cars in Lahore.Workshop is highly recommended,HONDA Fort,1
Poor customer service. Management should training the staff how to satisfy the customers.,HONDA RingRoad,0
"Very bad ??
Lazy staff
At one time one mechanic working on 2 to 3 vehicles.
Need complete ?? day ??,https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png""",Suzuki Sethi Motors (Town Morr),0
"When Khalid motor started working, it was amazing in services, timely and efficiently, but with time as it goes older services get declined. Staff do things unprofessional and services was disappointing, for one things need several visit to fix.
It's just ok",Suzuki Khalid Motors (Link Ferozpur),0
Poor Service...Miscommitments,HONDA Point,0
"So much expensive. Moreover, really customer service. No one even bothered to ask me. Very rude staff.",Suzuki Adil Zafar Motors,0
"Suzuki Adil zafar motors is the best for purchas any car, we easyly purchased avery vehicle and work our car.",Suzuki Adil Zafar Motors,1
"Nice place ample of parking, staff is energetic, helpful but they don't have good Choice of a car for sale, heavy own, Honda city delivery after five months on booking.",HONDA Point,1
Poor after sales service!,HONDA Point,0
Good place for engine tuning only price of parts are more than double as compared to market.,Suzuki Adil Zafar Motors,1
Received vehicle with faults which an ordinary person can not found..only an expert person who have the knowledge of vehicle denting and painting experience can judge it.,Suzuki Adil Zafar Motors,0
Good Honda service and maintenance although somewhat expensive,HONDA Gateway,1
Like it,Suzuki Raiwind Motors (Raiwind Rd),1
Compare to market they r expensive,Suzuki Raiwind Motors (Raiwind Rd),0
"Authorized Dealer of Pak Suzuki Motor Co near kalma Chowk Main Ferozpur Road.
Dealing with Sales of all Suzuki Brand New Cars, Service and Repairing of cars and Suzuki Genuine Spare Parts.",Suzuki Sethi Motors (Town Morr),1
No experience,HONDA Township,0
Seamless delivery of CIVIC,HONDA Fort,1
It is an excelent place for suazuki services,Suzuki Mini Motors (Gulberg 3),1
"Overall experience was satisfactory, but customer service needs improvement",Suzuki Raiwind Motors (Raiwind Rd),0
Their manners are exceptional...and the complementary tea they served while waiting was wonderful too...All in all so far good enough to make me go there again....,HONDA RingRoad,1
Best customer care service,HONDA RingRoad,1
One can buy all cars and motorcycles of Suzuki and after sale service here.,Suzuki Sethi Motors (Town Morr),1
Great friendly environment. Own prices are not high. But good experience. I bought my vegon R.,Suzuki Sethi Motors (Town Morr),1
Staff ia good but itseems their policy isnt good. Suzuki canal.gives much better services,Suzuki Raiwind Motors (Raiwind Rd),1
"Best Dealership in Lahore.
Best After Sales Services.
Cooperative staff.",HONDA Gateway,1
Small showroom with not enough vehicles on display. Staff was very courteous and friendly who helped with all the information I needed in detail,HONDA Township,0
"It was good,it is rating 4 .5",HONDA Fort,1
"This time my experience was very bad. I was told to pay Rs 5550/- as total charges of the job done whereas I was given two payment bills amounting to Rs.3850/-. So,in this way, I have been charged Rs.1700/- extra by Khalid Motor's cashier. What can you help me in this regard?
Prof. Waqar Azeem.",Suzuki Khalid Motors (Link Ferozpur),0
Great ambiance 3S Honda Dealership Lahore,HONDA Fort,1
Very good service  thanks to omer Khalid Bhai ??,HONDA Township,1
"Good service center specially mechanical team is great ??

Professional workers with a great working attitude. ??",HONDA Township,1
Good staff with average work quality,Suzuki Khalid Motors (Link Ferozpur),1
Excellent after sales and services,HONDA Fort,1
All types of honda vehicles are available here,HONDA Gateway,1
"Don't go for any repair, mechanical or electric fault",Suzuki Raiwind Motors (Raiwind Rd),0
Very good persons here,Suzuki Mini Motors (Gulberg 3),1
Good Service,HONDA Township,1
I found it the best Honda point as compared to others like Samnabad.,HONDA Township,1
"I recently visited Suzuki Raiwind Motors. While the overall experience (in terms of environment and vehicle handling) was good, I felt the customer dealing  ",Suzuki Raiwind Motors (Raiwind Rd),1
Excellent Honda showroom,HONDA Township,1
Cooperative staff,HONDA Fort,1
Good service but very high price some mechanics are honest and good,Suzuki Khalid Motors (Link Ferozpur),1
Its a honda service center,HONDA Point,1
Lovely feedback,HONDA Gateway,1
Good place to buy Honda.,HONDA RingRoad,1
Fast service and well trained staff,Suzuki Sethi Motors (Town Morr),1
The staff was incredibly helpful during my recent visit. They were knowledgeable. I truly appreciated their level of service and it made my experience all the more enjoyable,HONDA Fort,1
"expensive rates. it's not perfect for new car users. They have staff, but they do not check your car to confirm that your car do not have any other problem, other that what you've explained.
Staff, who is always busy. In my last visit, my word was done in 45 minutes and they took extra 45 minutes just for clearance.
I'll leave once i find good alternative.",Suzuki Sethi Motors (Town Morr),0
Good experience made here in Khalid Suzuki Motors...,Suzuki Khalid Motors (Link Ferozpur),1
"Staff is very courteous, highly professional. Was really impressed woth their attitude. Specially a guy usman khan and mechanic babar are a good front line image of suzuki mini motors.",Suzuki Mini Motors (Gulberg 3),1
Nice experience.,HONDA Township,1
Too much expensive car maintenance,HONDA RingRoad,0
"Service needs improvement. System was down, debit card payment option was out of order.. the job order guy was not satisfactory",Suzuki Khalid Motors (Link Ferozpur),0
The most pathetic technology of Pakistan with enormous prices comparatively in the world if I take the basic model price w suzuki alto VXR 660 cc which is costing a common pakistani 2.63million pak rupee whereas in India it cost them  ,Suzuki Raiwind Motors (Raiwind Rd),0
Honda ring road is fraud. Plz dont buy any new car from here they are big blackmailer. Sales manager is no professional and involve in fraud. I booked my car from here. Didnt receive yet. I am going to complain about them.  Big thieves       I will post on social media about them.  Dont come here for any service.  Fraud management.,HONDA RingRoad,0
Always go there for my wagon r service. They mostly offer good packages and look into the problem correctly,Suzuki Mini Motors (Gulberg 3),1
Good service,HONDA Gateway,1
Obviously a perfect,HONDA Township,1
Bad service,HONDA Point,0
"Very co-operative staff, well experienced mechanics and genuine parts bit costly with peace of mind!",Suzuki Adil Zafar Motors,1
Good service,HONDA Gateway,1
"Worst authorized dealership. They don't give proper attention to customer and say we need half hour or more to inspect you car reason is more customer, no availability of labor e.t.c.",Suzuki Sethi Motors (Town Morr),0
Good show room,HONDA Point,1
A huge showroom with a well trained staff but due to a big gathering service feels slow sometime....,Suzuki Khalid Motors (Link Ferozpur),1
Very very very poor quality and bad car service area,Suzuki Raiwind Motors (Raiwind Rd),0
Didn't feel welcomed at all. No one get bothered to ask if I want to get the details on their new cars. Then we eventually ask one person and he helped us like it was one of ther hardest jobs he was doing. Usually salesman at dealership are welcome and active.,HONDA Point,0
Pretty average service,HONDA Gateway,0
Amazing Showroom Suzuki Motor's,Suzuki Raiwind Motors (Raiwind Rd),1
Bought my first car. Its a great place for getting your car serviced.,Suzuki Adil Zafar Motors,1
Visited Honda Fort many times. Bought couple of cars from there. Good and fast service. All the services available on all floors. Honda's genuine products only used. Staff's behavior is pretty good and highly coordinative. If you want your Honda's complete checkup under one roof then do visit Honda Fort.,HONDA Fort,1
No reply on facebook bad behaveoir,Suzuki Raiwind Motors (Raiwind Rd),0
Excellent service competent and co operative staff only one drawback is location near railway track and due to this traffic jam,Suzuki Mini Motors (Gulberg 3),1
Pathetic service.,Suzuki Raiwind Motors (Raiwind Rd),0
No one attended the fault. Finally I left without getting my car checked,HONDA Fort,0
"A place with Great people Specially Mr Usman Bhatti Shab, very cooperative & an efficient person.",Suzuki Mini Motors (Gulberg 3),1
Nice dealorship but staff should be more polite and professional towards the insurance claim customers as well,Suzuki Sethi Motors (Town Morr),1
"Suzuki Mini Motors is the worst Suzuki dealership in Lahore.

I won?? recommend anybody doing business with them at all. They aren?? trustworthy, highly deceptive, and unprofessional, especially their salesperson Mr. Summer and sales manager Mr. Kashif.

I booked the newly launched Swift in the Suzuki exchange program through Suzuki Mini Motors. They committed to deliver the vehicle within fifteen days but the vehicle was delivered after forty days.

The dealership handed me over a faulty vehicle with manufacturing defects and deep scratches on the paint.",Suzuki Mini Motors (Gulberg 3),0
SHAME ON HONDA FORT THIRD CLASS SERVICE,HONDA Gateway,0
I Think first and last deal with gateway,HONDA Gateway,0
"Worst service - Do not ever go here and NEVER EVER Leave your car overnight here. You can only utilise them for basic services like Oil change or oil filter change..

They messed up my car (honda civic reborn) steering and fixed it only temporarily while charging 20k+ for it. While car was with them overnight, they must have hit it from bottom somehow (may be dropped from ramp or they took it outside) because the next day the silencer was tilted towards left. They didn?? admit their fault. When I took my car to Walton to see if this can be fixed, they told me your car has been hit from the bottom with large force otherwise this never tilts.",HONDA Point,0
I booked my BR-V and they committed delivery in 1 month but actually delivered in 2 months. Rest their services are good so far.,HONDA RingRoad,1
"They know exactly what to do with cars, a bit expensive but worth it.
100% recommended.",HONDA Gateway,1
Awsome servise,Suzuki Mini Motors (Gulberg 3),0
They changed the oil of less price but charged in bill for expensive grade.. cheat..,Suzuki Raiwind Motors (Raiwind Rd),0
"Regarding auto workshop, services are good. Auto parts are also available at reasonable prices.",Suzuki Adil Zafar Motors,1
Good place and professional service... Customer oriented... Cooperative staff and good listening of Higher Management.,HONDA RingRoad,1
Place for good services in the area,HONDA RingRoad,1
Better than few others,Suzuki Mini Motors (Gulberg 3),1
Busy But Good Place for your Suzuki,Suzuki Adil Zafar Motors,0
Never expect a service from them. It's like someone gives you pathetic full of arrogance service and the charges you 2 times for that from market rate.,HONDA Point,0
"They are Pak Suzuki's authorized dealer. They sell Suzuki vehicles,  Spare parts and provide repair and maintenance services.",Suzuki Khalid Motors (Link Ferozpur),1
Nice experience overall. Got late as their computer system was down but otherwise good staff,Suzuki Mini Motors (Gulberg 3),1
Excellent customer services,HONDA RingRoad,1
"Good showroom that offers other services like service / repair centre, facilitate in purchasing old but good suzuki cars and deals with Suzuki motorcycles.",Suzuki Adil Zafar Motors,1
"Very expensive services, I have been over charged two times. Everytime they try to find out a new fault.... Be careful and deal intelligently while making a visit their....",Suzuki Sethi Motors (Town Morr),0
Not really good but they pretend to be good,Suzuki Khalid Motors (Link Ferozpur),0
Very bad experience. Non cooperative staff,Suzuki Adil Zafar Motors,0
"Well. The staff is very courteous. Jehanzeb Khan is an experienced person who performs the professional way. If you are not aware, you might get charged for petty services. For eg. I was charged for telling me that my CNG advance kit was faulty, which I already knew. Still I will advise to go to M. M.",Suzuki Mini Motors (Gulberg 3),1
Good,Suzuki Raiwind Motors (Raiwind Rd),1
Nice place good staff specially Rustam Sahib very nice person,Suzuki Adil Zafar Motors,1
"Staff is good and co-oprative
Customer services are also good",Suzuki Khalid Motors (Link Ferozpur),1
Better servicies,HONDA Fort,1
Good satisfactory experience.,HONDA Township,1
Very bad,HONDA Fort,0
"Honda Cars Customer Service center, provides all types of maintenance facilities.",HONDA Point,1
"Once I had accidentally visited Suzuki Mini Motors on Sunday (because this is the only Suzuki dealer which was used to open on Sunday) and after that I had never visited any other Suzuki dealership for maintenance. I had visited it a few days ago and the experience was brilliant. I was just sitting in the waiting area and the whole process was carried out by the supervisor. I didn't had to get involved in the micromanagement of the tasks. Even if the customer is not satisfied, he/she can visit anytime soon and tell them. They will reevaluate and provide the remedy. Once I went back and told them that the balancing was not done in the right manner. The mechanic had crossed the  tyres and everything went fine.
I love the service and the behavior of the staff. Overall nothing to complain about.",Suzuki Mini Motors (Gulberg 3),0
Excellent services and curious staff.,Suzuki Mini Motors (Gulberg 3),1
